timestamp,point_index,x_m,y_m,z_m,translation_min_mm,translation_max_mm,rotation_min_deg,rotation_max_deg
2026-09-02 16:20:46,1421417,1.324693,5.437535,0.904393,2.4721,2.5294,,
2026-09-02 16:21:05,2668094,1.897402,3.228717,1.013577,2.2886,2.5650,,
2026-09-02 16:21:16,2373017,1.844823,5.090666,-0.341558,1.4733,2.0864,,
2026-09-02 16:21:41,1528122,1.355249,6.635193,0.942764,3.4203,3.6023,,
2026-09-02 16:22:04,1258940,1.331621,3.690557,0.919759,1.7632,1.8735,,
2026-09-02 16:22:06,1311742,1.367080,4.292818,0.999882,3.2335,3.4090,,
2026-09-02 16:22:09,1383545,1.374555,4.914598,1.005354,2.8674,3.0531,,
2026-09-02 16:22:12,909710,1.440510,4.237140,1.111567,0.0000,0.0000,,
2026-09-02 16:22:14,1860271,1.262327,4.251960,0.653615,1.6162,1.6923,,
2026-09-02 16:22:17,1925311,1.268269,3.774547,0.553297,1.7685,1.9283,,
2026-09-02 16:22:19,1793708,1.265830,4.783448,0.356205,2.0441,2.0888,,
2026-09-02 16:22:21,1724077,1.249574,5.335632,0.356632,1.8972,1.9567,,
2026-09-02 16:22:21,1683502,1.231935,5.656063,0.565444,1.5410,1.6221,,
2026-09-02 16:22:22,1624709,1.222251,6.160882,0.533511,1.5163,1.5832,,
2026-09-02 16:22:24,1692229,1.327024,5.646687,0.089141,0.0000,0.0000,,
2026-09-02 16:22:24,1632248,1.391565,6.195436,-0.062174,0.0000,0.0000,,
2026-09-02 16:22:25,1786944,1.455302,4.930209,-0.055063,0.0000,0.0000,,
2026-09-02 16:22:26,1910862,1.399642,3.955881,0.094009,0.0000,0.0000,,
2026-09-02 16:22:27,1862117,1.305397,4.278389,0.268325,0.0000,1.3515,,
2026-09-02 16:22:27,1957070,1.308266,3.572518,0.336021,2.2209,2.3082,,
2026-09-02 16:22:28,1969037,1.639411,3.632229,-0.147496,0.0000,0.0000,,
2026-09-02 16:22:29,1871271,1.583956,4.329363,-0.146587,0.0000,0.0000,,
2026-09-02 16:22:33,1028425,1.459603,3.345475,0.952239,0.0000,0.0000,,
2026-09-02 16:22:34,2534217,1.762563,3.196541,0.701224,0.0000,1.3206,,
2026-09-02 16:22:34,2008448,1.460245,3.294476,0.647313,0.0000,0.0000,,
2026-09-02 16:22:35,2020422,1.507512,3.277432,0.374614,0.0000,1.1165,,
2026-09-02 16:22:35,2053386,1.702460,3.206146,0.446486,1.2076,1.3332,,
2026-09-02 16:22:36,2055148,1.774605,3.249992,0.063621,0.0000,0.0000,,
2026-09-02 16:22:36,2022435,1.560475,3.305112,0.104219,0.0000,0.0000,,
2026-09-02 16:22:37,1048240,1.668880,3.347994,1.189948,0.0000,0.0000,,
2026-09-02 16:22:45,722296,1.516346,5.671724,1.157008,0.0000,0.0000,,
2026-09-02 16:22:45,274664,1.602525,5.219311,1.243415,0.0000,0.0000,,
2026-09-02 16:22:46,343619,1.718954,5.716115,1.301886,0.0000,0.0000,,
2026-09-02 16:22:46,259117,1.887980,4.866529,1.407222,0.0000,0.0000,,
2026-09-02 16:22:47,238718,1.621250,4.875315,1.270731,0.0000,0.0000,,
2026-09-02 16:22:48,301587,1.879420,5.376576,1.383901,0.0000,0.0000,,
