timestamp,point_index,x_m,y_m,z_m,translation_min_mm,translation_max_mm,rotation_min_deg,rotation_max_deg
2026-09-02 16:39:24,2966950,1.683094,3.210188,0.586699,3.0672,3.3449,,
2026-09-02 16:39:27,5005296,1.604915,3.259463,0.235789,3.1346,3.3159,,
2026-09-02 16:39:29,2945695,1.950015,3.184783,0.849494,2.1944,2.3131,,
2026-09-02 16:39:31,2726446,1.785443,3.295253,1.138779,1.4257,2.0035,,
2026-09-02 16:39:33,3009679,1.568121,3.285937,0.895670,1.3068,2.0483,,
2026-09-02 16:39:34,3041875,1.423972,3.321114,0.758085,1.6999,1.7823,,
2026-09-02 16:39:36,2650787,1.307480,3.690609,0.847345,3.3261,3.3629,,
2026-09-02 16:39:38,2656843,1.392625,3.626283,1.052122,3.1262,3.2026,,
2026-09-02 16:39:39,3133772,1.418517,3.874663,1.089921,2.7277,2.8500,,
2026-09-02 16:39:40,1120337,1.623787,4.141158,1.300768,1.7452,1.9982,,
2026-09-02 16:39:40,3828822,1.398348,4.202155,1.052388,2.4264,2.5533,,
2026-09-02 16:39:43,4930374,1.282494,3.630136,0.441576,1.1764,1.4217,,
2026-09-02 16:39:43,4846082,1.268578,4.267583,0.422835,1.4677,1.5242,,
2026-09-02 16:39:44,4941913,1.478841,3.618002,0.006332,2.5798,2.6993,,
2026-09-02 16:39:44,4872593,1.465680,4.145402,-0.013748,2.5251,2.6896,,
2026-09-02 16:39:46,4950051,1.614285,3.612048,-0.127272,1.1750,2.9358,,
2026-09-02 16:39:48,5282979,1.717858,3.779932,-0.208990,0.0000,0.0000,,
2026-09-02 16:39:50,3223445,1.255142,4.662332,0.615581,0.0000,2.2314,,
2026-09-02 16:39:50,3707787,1.247907,5.298668,0.639021,0.0000,0.0000,,
2026-09-02 16:39:51,3348461,1.259485,5.692154,0.723297,0.0000,0.0000,,
2026-09-02 16:39:53,4729997,1.268407,5.164774,0.299715,1.2754,1.4049,,
2026-09-02 16:39:55,4659733,1.241232,5.671717,0.359229,1.3280,1.4007,,
2026-09-02 16:39:55,4393515,1.225211,5.968172,0.475874,1.7178,1.8907,,
2026-09-02 16:39:56,3620203,1.252694,6.082347,0.708613,0.0000,0.0000,,
2026-09-02 16:39:58,4427361,1.218146,6.365362,0.475517,2.0011,2.1927,,
2026-09-02 16:40:00,3453664,1.349923,6.614791,0.929798,2.0791,2.2286,,
2026-09-02 16:40:02,3678743,1.451202,5.667778,1.090962,1.8289,1.8815,,
2026-09-02 16:40:04,3764905,1.494057,4.857894,1.161773,2.3021,2.4242,,
2026-09-02 16:40:06,1654535,1.714218,5.208707,1.317069,0.0000,0.0000,,
2026-09-02 16:40:13,4765305,1.564137,5.014960,-0.173255,1.9891,2.4090,,
2026-09-02 16:40:13,5498384,1.553486,6.041698,-0.225945,0.0000,2.2568,,
2026-09-02 16:40:14,4656767,1.428675,5.764639,-0.081456,2.4795,2.6061,,
2026-09-02 16:40:14,4570119,1.377282,6.287736,-0.049126,2.4754,2.6042,,
2026-09-02 16:40:23,5422167,1.785467,5.501950,-0.340213,0.0000,16.8471,,
2026-09-02 16:40:24,5402684,1.763699,5.267113,-0.317409,0.0000,16.0826,,
2026-09-02 16:40:33,5396773,1.807959,5.126897,-0.329287,0.0000,11.2564,,
